province,date,avg_pet,avg_precipitation,water_balance,spei
Badajoz,2009-08-01,1998.370646352917,1.8066045856956008,-1996.5640417672214,0.6050466464257296
Badajoz,2009-09-01,1332.111525252738,19.718225285662072,-1312.3932999670758,0.2978840257677941
Badajoz,2009-10-01,881.3921914502231,52.0290842200964,-829.3631072301267,-0.5191911883136437
Badajoz,2009-11-01,467.9246450178662,25.32664699326128,-442.5979980246049,-0.8770145226243328
Badajoz,2009-12-01,326.02585230447625,242.17721469283185,-83.84863761164439,1.7821392537331877
Badajoz,2010-01-01,337.0833199928716,139.05564633781665,-198.02767365505497,2.176964216839949
Badajoz,2010-02-01,440.6404901638007,219.0688639665571,-221.57162619724357,2.0774251719602765
Badajoz,2010-03-01,740.8456926418035,109.13250551993052,-631.7131871218729,1.0580427262352543
Badajoz,2010-04-01,1095.5090901402389,67.88707626414713,-1027.6220138760918,0.5579029471838233
Badajoz,2010-05-01,1557.5932619090036,31.08015150737146,-1526.513110401632,0.08929787439528954
Badajoz,2010-06-01,1830.4292437015383,38.00765994206713,-1792.421583759471,1.4769821149771873
Badajoz,2010-07-01,2294.68374346443,0.2886976588244886,-2294.3950458056056,-0.4006980947663105
Badajoz,2010-08-01,2024.00408369151,9.048738495739604,-2014.9553451957704,0.33687818481362414
Badajoz,2010-09-01,1325.722994626562,27.08878404460645,-1298.6342105819556,0.4513869684515322
Badajoz,2010-10-01,842.6229743893331,91.12553122725194,-751.4974431620811,0.25604083320217225
Badajoz,2010-11-01,441.7719838222992,83.34829780743208,-358.42368601486714,0.4733345014785122
Badajoz,2010-12-01,324.5886647355715,199.15562126781677,-125.43304346775474,1.5172464447391387
Badajoz,2011-01-01,341.6492858070574,55.71580587966999,-285.93347992738745,0.4134213395762283
Badajoz,2011-02-01,479.2492229810337,68.4375349243218,-410.8116880567119,0.3173146939087955
Badajoz,2011-03-01,742.8070425555692,78.26588395912675,-664.5411585964424,0.8548292809723032
Badajoz,2011-04-01,1128.0818913049388,84.02364131173479,-1044.058249993204,0.5410904136631689
Badajoz,2011-05-01,1490.577969209207,67.72342655547266,-1422.8545426537344,0.7396564651142434
Badajoz,2011-06-01,1989.7346869119488,7.569901502085639,-1982.164785409863,0.008496557063211667
Badajoz,2011-07-01,2312.878751816063,0.1727504206021027,-2312.706001395461,-0.7056203839457516
Badajoz,2011-08-01,2014.6936838703236,13.26984683136346,-2001.42383703896,0.5350878752704173
Badajoz,2011-09-01,1388.7400150419985,18.93648228638396,-1369.8035327556145,-0.3752871261990621
Badajoz,2011-10-01,923.19055918181,38.20428727199133,-884.9862719098187,-1.0342046464477739
Badajoz,2011-11-01,443.6367477867415,111.34558541469688,-332.29116237204465,0.8459803612874579
