system:index,actual_evapotranspiration,community,date,max_temperature,min_temperature,potential_evapotranspiration,precipitation,province,soil_moisture,.geo
200704_00000000000000000013,755.2721937587332,País Vasco/Euskadi,2007-04-01T00:00:00,16.793314702685926,7.884092532215496,755.2721937587332,147.3764943331781,Gipuzkoa,1679.8043471510641,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000002d,754.1791115180778,País Vasco/Euskadi,2007-04-01T00:00:00,16.74666333694054,8.8808929215572,754.1791115180778,125.30128471933186,Bizkaia,1715.1693720691467,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000020,727.4284051492009,Principado de Asturias,2007-04-01T00:00:00,15.841662661346835,5.832679356292023,728.048903507502,99.00788710209804,Asturias,2173.472890258098,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000001d,572.5146506606585,Región de Murcia,2007-04-01T00:00:00,19.302612124199108,8.635553521556478,1034.7371447346807,56.92594287591826,Murcia,174.16606233424858,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000003,317.0372916348065,Andalucía,2007-05-01T00:00:00,22.991598868328484,11.894731610337967,1536.3482260284445,26.020415965743986,Almería,169.1032650252331,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000000a,794.5761378620475,Andalucía,2007-05-01T00:00:00,23.175169372072972,13.959172463965805,1452.4247078615924,52.03378347656074,Cádiz,605.5703723912154,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000000d,964.2501241316816,Andalucía,2007-05-01T00:00:00,24.975414214162086,11.899913228339637,1553.9857501651077,81.83752006594648,Córdoba,422.88675816256216,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000011,613.7004387545306,Andalucía,2007-05-01T00:00:00,22.211455308505887,9.615810000211958,1504.1033404692769,53.793997329320234,Granada,279.14038555289426,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000014,697.6697846235036,Andalucía,2007-05-01T00:00:00,23.374733335532156,13.591790626339924,1499.1668458722256,45.797348197499915,Huelva,451.5721296876547,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000016,632.9960454283877,Andalucía,2007-05-01T00:00:00,24.26293425278768,11.334332961157658,1562.2441505294896,59.29498448174948,Jaén,194.26600396440904,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000001c,750.431368749366,Andalucía,2007-05-01T00:00:00,23.337006893115166,12.115830172835404,1492.1102990707675,61.448153992377875,Málaga,371.4926316566544,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000026,774.7126469649096,Andalucía,2007-05-01T00:00:00,25.17119702233722,12.806969961254161,1553.2843601218133,64.28325445958374,Sevilla,346.3250408666105,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000015,722.0889392250624,Aragón,2007-05-01T00:00:00,19.50030521298991,8.504999660430574,1279.3632953415067,78.36302768090063,Huesca,526.3537394583666,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000029,755.656064184885,Aragón,2007-05-01T00:00:00,19.508919125489555,8.37148643455205,1325.1254938876668,58.03892374590315,Teruel,205.30514161351746,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000002f,607.5889413602317,Aragón,2007-05-01T00:00:00,22.251822547917616,10.640402245157143,1462.0473628892169,57.74277403909316,Zaragoza,139.19710815584722,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000032,90.40946887679905,Canarias,2007-05-01T00:00:00,22.726681708182458,15.661751487472486,1518.504994632362,8.714150548590768,Las Palmas,38.09043104859986,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000033,314.59172780389235,Canarias,2007-05-01T00:00:00,19.62323507446294,12.440860167816194,1460.771075868735,31.213262750955494,Santa Cruz de Tenerife,81.72167552607304,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000024,954.494264413979,Cantabria,2007-05-01T00:00:00,17.23065711120344,9.084780501315599,959.9092461801238,108.034575081937,Cantabria,1940.3854152241167,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000004,1007.8920015917229,Castilla y León,2007-05-01T00:00:00,18.750249104655794,6.398253879824899,1214.0433267011538,111.21750895344213,Ávila,391.74693195384,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000008,965.9675480716811,Castilla y León,2007-05-01T00:00:00,18.409585115986992,7.553689820448062,1116.6178034218228,90.76730645942098,Burgos,877.3468400692558,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000017,985.2147337047038,Castilla y León,2007-05-01T00:00:00,17.432675863278078,5.671722412158021,1064.236211059841,104.33097839513549,León,1348.9382456308135,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000021,931.8864794140876,Castilla y León,2007-05-01T00:00:00,18.725654584023676,6.9513509747147095,1134.853204403636,88.57660684700305,Palencia,707.9626294845393,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000023,1129.414023139368,Castilla y León,2007-05-01T00:00:00,19.916740645814702,8.094562403435264,1251.8139084243205,118.13488319217875,Salamanca,521.7960500819028,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000025,1008.984321132546,Castilla y León,2007-05-01T00:00:00,19.544363859752067,6.9481377906550295,1208.8702046504802,105.79174613071228,Segovia,312.02314237511916,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000027,978.4233010302346,Castilla y León,2007-05-01T00:00:00,18.76901959585463,6.551407783314481,1192.5902479288318,86.72191617498713,Soria,403.9337592858675,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000002c,857.6392495047197,Castilla y León,2007-05-01T00:00:00,20.839446063007404,7.9540713980499484,1246.1152080177133,85.6068601173135,Valladolid,120.5817193023346,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000002e,1005.4193240859901,Castilla y León,2007-05-01T00:00:00,19.958143858143853,7.5409379617712915,1205.5629498546157,98.26475284808619,Zamora,430.80301730301755,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000001,457.9649133606225,Castilla-La Mancha,2007-05-01T00:00:00,23.26160167430979,10.332432277949492,1555.3961668506001,39.60187216679783,Albacete,150.22327501681778,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000000c,835.3424601323015,Castilla-La Mancha,2007-05-01T00:00:00,24.14618133804561,10.673631559266264,1505.1875229576367,77.21732900488767,Ciudad Real,219.83881834757915,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000000f,864.755464331395,Castilla-La Mancha,2007-05-01T00:00:00,21.77283586819956,8.83362172074087,1408.0820187370066,62.338428219456176,Cuenca,343.8299973211285,"{""type"":""MultiPoint"",""coordinates"":[]}"
